Geocoordinates,ZipCode,Neighborhood
"40.76370739,-73.9851615",10019,Theater District
"40.750181563256824,-74.00218427181244",10001,Chelsea
"40.71745169,-73.95850939",11249,Williamsburg
"40.68841742754083,-73.98451656103134",11201,Boerum Hill
"40.749717753,-74.002950346",10001,Chelsea
"40.68926942,-73.98912867",11201,Boerum Hill
"40.726280700000004,-73.98978041",10003,Bowery
"40.73401143,-74.00293877",10014,West Village
"40.7190095,-73.95852515",11249,Williamsburg
"40.8038654,-73.95593079999999",10026,South Harlem
"40.68962188790333,-73.98304268717766",11201,Downtown Brooklyn
"40.74901271,-73.98848395",10001,Midtown South
"40.68841,-73.979458",11201,Fort Greene
"40.73047309,-73.98672378",10003,Ukrainian Village
"40.7489006,-73.97604882",10016,Murray Hill
"40.7361967,-74.00859207",10014,West Village
"40.716380319735606,-73.94821286201476",11211,Williamsburg
"40.6802133,-73.98432695",11217,Gowanus
"40.674012299999994,-73.9671457",11238,Prospect Heights
"40.74322681432173,-73.97449783980845",10016,Kips Bay
"40.73652889,-74.00618026",10014,West Village
"40.7937704,-73.971888",10025,Upper West Side
"40.75660359,-73.9979009",10018,Hell's Kitchen
"40.71285887,-73.96590294",11249,South Williamsburg
"40.72036775298455,-73.96165072917937",11249,Williamsburg
"40.74780373,-73.97344190000001",10016,Murray Hill
"40.749156,-73.9916",10001,Midtown South
"40.75640548,-73.9900262",10018,Theater District
"40.74394314,-73.97966069",10016,Kips Bay
"40.73624527,-73.98473765",10003,Gramercy Park
"40.73454567,-73.99074142",10003,Lower Manhattan
"40.7462009,-73.98855723",10001,NoMad
"40.788129999999995,-73.95206",10029,East Harlem
"40.72494672359416,-74.00165855884552",10012,SoHo
"40.7454973,-74.00197139",10011,Chelsea
"40.71427487,-73.98990025",10002,Lower East Side
"40.74290902,-73.97706058",10016,Kips Bay
"40.73224119,-74.00026394",10011,Greenwich Village
"40.74252,-73.948852",11101,Hunters Point
"40.6794268,-73.92989109999999",11233,Bedford-Stuyvesant
"40.730259999999994,-73.95394",11222,Greenpoint
"40.741459000000006,-73.983293",10010,Rose Hill
"40.73221853,-73.98165557",10009,Stuyvesant Town-Peter Cooper Village
"40.70255088,-73.98940236",11201,Dumbo
"40.71534825,-73.96024116",11211,Williamsburg
"40.72779126,-73.98564945",10003,Ukrainian Village
"40.68216564,-73.95399026",11216,Bedford-Stuyvesant
"40.7867947,-73.977112",10024,Upper West Side
"40.73587678,-73.98205027",10003,Gramercy Park
"40.751551,-73.993934",10001,Midtown South
"40.717571,-74.005549",10013,Tribeca
"40.73047747,-73.99906065",10012,South Village
"40.77477944895728,-73.95427465438844",10028,Yorkville
"40.8107922,-73.9430681",10037,Central Harlem
"40.7390169121,-74.0026376103",10011,West Village
"40.71939226,-74.00247214",10013,Canal Street
"40.715143,-73.944507",11211,Williamsburg
"40.77492513,-73.98266566",10023,Lincoln Square
